codigo_unidad;nombre_unidad;codigo_organismo;nombre_organismo;region;comuna;oc_convenio_marco
595636;DIRECCION NACIONAL;1175633;INIA;Región Metropolitana de Santiago;Providencia;5
595824;Hospital San Fernando Operaciones;7448;SERVICIO DE SALUD HOSPITAL DE SAN FERNANDO;Región del Libertador General Bernardo O´Higgins;San Fernando;2
598;Unidad de Abastecimiento DIPRECA;6927;DIRECCION PREVISION DE CARABINEROS DE CHILE;Región Metropolitana de Santiago;Santiago;3
599;JUNTA NACIONAL DE JARDINES         INFANTILES;6928;JUNTA NACIONAL DE JARDINES         INFANTILES;Región Metropolitana de Santiago;Santiago;4
601;Superintendencia de Salud;6930;SUPERINTENDENCIA DE SALUD;Región Metropolitana de Santiago;Santiago Centro;6
602;Educación;7367;I MUNICIPALIDAD DE RIO NEGRO;Región de los Lagos;Río Negro;1
603663;Unidad de Administracion y Finanzas;1189679;INSTITUTO NACIONAL DE DERECHOS HUMANOS;Región Metropolitana de Santiago;Providencia;14
604944;Subsecretaría de Defensa;1191967;SUBSECRETARIA DE DEFENSA;Región Metropolitana de Santiago;Santiago;7
605;Consejo de Defensa del Estado;6933;Consejo de Defensa del Estado;Región Metropolitana de Santiago;Santiago;4
606;Subsecretaría de Telecomunicaciones;6934;SUBSECRETARIA DE TELECOMUNICACIONES;Región Metropolitana de Santiago;Santiago;5
606591;Servicio de Bienestar Comision Nacional de Riego;7186;COMISION NACIONAL DE RIEGO;Región Metropolitana de Santiago;Santiago;2
607;Adquisiciones;6935;PARQUE METROPOLITANO DE SANTIAGO;Región Metropolitana de Santiago;Santiago;7
608;Hospital Dr. Gustavo Fricke;6936;HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR;Región de Valparaíso;Viña del Mar;94
608897;Subsecretaría del Medio Ambiente;1198788;SUBSECRETARIA DEL MEDIO AMBIENTE;Región de los Lagos;Puerto Montt;1
609;Instituto de Desarrollo Agropecuario - INDAP;6937;INSTITUTO DE DESARROLLO AGROPECUARIO;Región Metropolitana de Santiago;Santiago;3
